 	분류	타입1	타입2	타입3	위력	명중	대상	우선도	접촉 여부	효과	태그1	태그2	태그3	태그4	공격자 능력치	방어자 능력치	타입 순서
모피로방어	변화	노말			－	－	자신	＋3	×	「방어」 기술．상대의 「공격」 기술을 「방어」한다．연속해서 내보내면 실패하기 쉽다．「접촉」 기술을 무효화했을 때，자신의 「방어＋1」	방어				－	－	1
몸통박치기	물리	노말			40	100	단일	±0	○	특수효과 없음．					공격	방어	1
무리로덮치기	물리	노말			140	100	단일	±0	×	「미래예지」 기술．상대를 「무리로덮치기」 상태로 한다．	미래예지	방어관통		전용기술	공격	방어	1
묵사발（1P）	물리	노말			1	100	단일	±0	○	상대의 현재 HP가 많을수록 위력이 강화된다．		체력비례			공격	방어	1
묵사발（2P）	물리	노말			121	100	단일	±0	○	상대의 현재 HP가 많을수록 위력이 강화된다．		체력비례			공격	방어	1
물통돌리기	변화	노말			－	－	단일	－3	×	「강제교대」 기술．상대의 「능력변화」를 인계한다．		필중	강제교대		－	－	1
미러타입	변화	노말			－	－	단일	±0	×	자신의 타입을 상대와 똑같은 타입으로 변경한다．		타입변경			－	－	1
바둥바둥（1P）	물리	노말			20	100	단일	±0	○	자신의 현재 HP가 적을수록 위력이 강화된다．		체력비례			공격	방어	1
바둥바둥（2P）	물리	노말			200	100	단일	±0	○	자신의 현재 HP가 적을수록 위력이 강화된다．		체력비례			공격	방어	1
박치기	물리	노말			70	100	단일	±0	○	「3할：풀죽음」					공격	방어	1
방어	변화	노말			－	－	자신	＋4	×	「방어」 기술．연속해서 내보내면 실패하기 쉽다．	방어				－	－	1
배북	변화	노말			－	－	자신	±0	×	HP를 1/2만큼 지불하고，자신의 「능력변화：공격」을 「＋6」으로 한다．					－	－	1
배턴터치	변화	노말			－	－	아군	±0	×	「유턴」 기술．자신의 「능력변화」「상태변화」를 인계한다．（상대의 「추격」효과가 적용된다．）			유턴		－	－	1
뱀눈초리	변화	노말			－	100	단일	±0	×	상대를 「마비」 상태로 한다．					－	－	1
버티기	변화	노말			－	－	자신	＋4	×	「빈사」가 되는 공격을 남은 HP 「1」로 버틴다．연속해서 내보내면 실패하기 쉽다．					－	－	1
베껴그리기	변화	노말			－	－	단일	±0	×	필드의 아군 전원의 〔특성〕을 상대와 같은 〔특성〕으로 변경한다．		특성		더블배틀	－	－	1
베어가르기	물리	노말			70	100	단일	±0	○	「칼/검」 기술．급소에 맞기 쉽다（C＋1）．	칼/검				공격	방어	1
변신	변화	노말			－	－	자신	±0	×	상대 포켓몬으로 변신한다．상대와 완전히 똑같은 기술을 내보낼 수 있다．					－	－	1
보고흉내내기	변화	노말			－	－	단일	±0	×	상대가 가장 마지막에 내보낸 기술을 내보낸다．					－	－	1
보호색	변화	노말			－	－	자신	±0	×	자신의 타입을 장소에 맞춰서 변경한다．		타입변경			－	－	1
볼가득넣기	변화	노말			－	－	자신	±0	×	지니고 있는 「나무열매」를 먹고，「방어＋2」					－	－	1
부르짖기	변화	노말			－	100	단일	±0	×	「소리」 기술．「공격/특공－1」	소리				－	－	1
분노	변화	노말			－	－	자신	±0	○	5T 동안 자신을 「분노」 상태로 한다．					－	－	1
분노의앞니	물리	노말			－	90	단일	±0	○	상대에게 현재 HP의 1/2만큼 고정 대미지를 준다．		고정피해			－	－	1
분발	변화	노말			－	－	자신	±0	×	「공격/특공＋1」					－	－	1
분진폭파	물리	노말			250	100	전체	±0	×	상대가 「분진」 상태가 아니면 기술을 내보낸 후 자신을 「빈사」 상태로 한다．상대의 「방어」 능력치를 반감해서 대미지를 계산한다．	자폭	방반감			공격	방어	1
브레이크댄스	물리	노말			70	100	단일	±0	×	「춤」 기술．「5할：공격＋1」	춤				공격	방어	1
브레이크클로	물리	노말			75	95	단일	±0	○	「5할：방어－1」					공격	방어	1
블록	변화	노말			－	－	단일	±0	×	3T 동안 상대를 「검은눈빛」 상태로 한다．		검은눈빛			－	－	1
비밀의힘	물리	노말			70	100	단일	±0	×	「힘」 기술．장소에 따라 추가효과가 변화한다．	힘				공격	방어	1
비밀이야기	변화	노말			－	－	단일	±0	×	「소리」 기술．「특공－1」	소리				－	－	1
비축하기	변화	노말			－	－	자신	±0	×	「방어/특방＋1」．최대 3회까지 비축할 수 있다．					－	－	1
빠르게찌르기	물리	노말			80	100	단일	±0	○	자신과 상대의 「속도」 능력치로 대미지를 계산한다．		변칙계산			속도	속도	1
뽐내기	변화	노말			－	85	단일	±0	×	상대를 「혼란」 상태로 하고，상대의 「공격＋2」					－	－	1
뿔드릴	물리	노말			－	30	단일	±0	○	「일격필살」 기술．	일격필살				－	－	1
뿔로꿰뚫기	물리	노말			100	85	단일	－3	○	상대의 「방어」 기술을 관통한다．		방어관통			공격	방어	1
뿔찌르기	물리	노말			65	100	단일	±0	○	특수효과 없음．					공격	방어	1
사슬묶기	변화	노말			－	－	단일	±0	×	4T 동안 상대를 「사슬묶기」 상태로 한다．					－	－	1
사야의노래	특수	노말			130	90	단일	±0	×	「소리」 기술．명중 후，자신의 「특공－2」	소리			전용기술	특공	특방	1
상황살피기	변화	노말			－	－	자신	＋1	×	「회피＋1」．연속해서 내보내면 실패하기 쉽다．（「방어」 기술과 동일 판정．）					－	－	1
선취	변화	노말			－	－	단일	±0	×	상대가 내보낼 공격기술의 위력을 강화（1.5배）해 내보낸다．상대보다 먼저 내보내지 않으면 실패한다．연속해서 내보내면 실패하기 쉽다．（「방어」 기술과 동일 판정．）					－	－	1
성스러운노래	특수	노말			100	100	전체	±0	×	「소리」 기술．상대가 「악」「고스트」 타입일 때，「효과가 굉장」해진다．	소리	상성변경		전용기술	특공	특방	1
성장	변화	노말			－	－	자신	±0	×	「공격/특공＋1」．날씨가 「쾌청（큰가뭄）」일 때，「공격/특공＋2」					－	－	1
소닉붐	특수	노말			－	90	단일	±0	×	상대에게 20만큼 고정 대미지를 준다．		고정피해			－	－	1
소란피기	특수	노말			90	100	단일	±0	×	「소리」 기술．2～5T 동안 소란피워 공격한다．그 동안은 아무도 잠들지 않게 된다．	소리				특공	특방	1
속이기	물리	노말			40	100	단일	＋3	○	「필드에 나온 후 최초」가 아니면 실패한다．「10할：풀죽음」		최초			공격	방어	1
손가락흔들기	변화	노말			－	－	자신	±0	×	모든 기술 중 랜덤한 기술을 내보낸다．					－	－	1
손에손잡기	변화	노말			－	－	자진	±0	×	아무 일도 일어나지 않는다．					－	－	1
스위프뺨치기	물리	노말			25	85	단일	±0	○	2～5회 「연속」 기술．		연속			공격	방어	1
스케치	변화	노말			－	－	단일	±0	×	상대가 가장 마지막에 내보낸 기술을 「스케치」 대신 내보낼 수 있게 된다．					－	－	1
스포트라이트	변화	노말			－	－	단일	±0	×	공격을 모두 대상이 받게 한다．				더블배틀	－	－	1
스피드스타	특수	노말			60	－	전체	±0	×	특수효과 없음．		필중			특공	특방	1
시라뵤시	특수	노말			90	100	단일	±0	×	「춤」 기술．	춤				특공	특방	1
신비의부적	변화	노말			－	－	자진	±0	×	5T 동안 자진을 「신비의부적」 상태로 한다．	필드				－	－	1
신속	물리	노말			80	100	단일	＋2	○	특수효과 없음．					공격	방어	1
신속촙	물리	노말	격투		80	100	단일	＋2	○	「노말」「격투」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입		전용기술	공격	특방	1
싫은소리	변화	노말			－	85	단일	±0	×	「소리」 기술．「방어－2」	소리				－	－	1
심플빔	변화	노말			－	100	단일	±0	×	상대의 〔특성〕을 〔단순〕으로 변경한다．		특성변경			－	－	1
십문자베기	물리	노말			100	50	단일	±0	○	「칼/검」 기술．2회 「연속」 기술．	칼/검	연속			공격	방어	1
아침햇살	변화	노말			－	－	자신	±0	×	HP를 회복한다．날씨에 따라 회복량이 변화한다．（1/4，1/2，2/3）		회복			－	－	1
아프로브레이크	물리	노말			120	100	단일	±0	○	준 대미지의 1/4만큼 반동 대미지를 받는다．		반동			공격	방어	1
아픔나누기	변화	노말			－	－	전체	±0	×	필드의 전원의 현재 HP를 더한 뒤 똑같이 배분한다．「방어」「대타출동」「매직코트」 상태（기술）를 관통한다．		고정피해 방어관통			－	－	1
악마의키스	변화	노말			－	75	단일	±0	×	상대를 「잠듦」 상태로 한다．					－	－	1
알낳기	변화	노말			－	－	자신	±0	×	HP를 1/2만큼 회복한다．		회복			－	－	1
알폭탄	물리	노말			100	75	단일	±0	×	「탄/볼」 기술．	탄/볼				공격	방어	1
암반나누기	물리	노말	격투		200	100	단일	±0	○	「노말」「격투」 타입 중 유리한 타입 상성으로 대미지를 계산한다．적진의 「벽」을 해제한 후 기술을 내보낸다．		깨트리기 복합타입		전용기술	공격	특방	1
앙코르	변화	노말			－	100	단일	±0	×	3T 동안 상대를 「앙코르」 상태로 한다．					－	－	1
야금야금	물리	노말			70	100	단일	±0	○	상대의 「방어/특방/회피」의 상승（강화）을 관통한다．		상승무시			공격	방어	1
에코보이스	특수	노말			40	100	단일	±0	×	「소리」 기술．매 T 누군가 이 기술을 사용하면 위력이 강화된다．（＋40，최대 200）	소리				특공	특방	1
연막	변화	노말			－	100	단일	±0	×	「명중－1」					－	－	1
연속뺨치기	물리	노말			15	85	단일	±0	○	2～5회 「연속」 기술．		연속			공격	방어	1
연속펀치	물리	노말			15	85	단일	±0	○	「펀치」 기술．2～5회 「연속」 기술．	펀치	연속			공격	방어	1
예민해지기	변화	노말			－	－	자신	±0	×	자신을 「예민해지기」 상태로 한다．					－	－	1
옛노래	특수	노말			75	100	단일	±0	×	「소리」 기술．「1할：잠듦」	소리				특공	특방	1
오토캐논	물리	노말			0	100	단일	±0	×	자신의 비축하기 횟수만큼 위력이 강화（＋100，최대 300）된다．		특수계산			공격	방어	1
우유마시기	변화	노말			－	－	자신	±0	×	HP를 1/2만큼 회복한다．		회복			－	－	1
울부짖기	변화	노말			－	－	단일	－6	×	「소리」 기술．「강제교대」 기술．	소리		강제교대		－	－	1
울음소리	변화	노말			－	－	전체	±0	×	「소리」 기술．「공격－1」	소리				－	－	1
웅크리기	변화	노말			－	－	자신	±0	×	자신을 「웅크리기」 상태로 하고，「방어/특방＋1」		웅크리기			－	－	1
원수갚기	물리	노말			70	100	단일	±0	○	「죽어내밀기」로 나온 T，위력이 강화（2배）된다．					공격	방어	1
유혹	변화	노말			－	100	단일	±0	×	「특공－2」．상대와 성별이 같으면 실패한다．					－	－	1
육탄전	물리	노말			120	100	단일	±0	○	명중 후，자신의 「방어/특방－1」					공격	방어	1
은혜갚기	물리	노말			－	100	단일	±0	○	친밀도가 높을수록 위력이 강화된다．（최대 102）．					공격	방어	1
이판사판태클	물리	노말			120	100	단일	±0	○	준 대미지의 1/3만큼 반동 대미지를 받는다．		반동			공격	방어	1
일격이탈	물리	노말			70	100	단일	±0	○	「유턴」 기술．			유턴		공격	방어	1
자기암시	변화	노말			－	－	단일	±0	×	상대의 「능력변화」를 자신에게 복사한다．					－	－	1
자기재생	변화	노말			－	－	자신	±0	×	HP를 1/2만큼 회복한다．		회복			－	－	1
자연의힘	변화	노말			－	－	?	±0	×	「힘」 기술．장소에 따라 나오는 기술이 변화한다．	힘				－	－	1
자폭	물리	노말			200	100	전체	±0	×	자신을 「빈사」 상태로 하고，상대의 「방어」 능력치를 반감해서 대미지를 계산한다．	자폭	방반감			공격	방어	1
작아지기	변화	노말			－	－	자신	±0	×	자신을 「작아지기」 상태로 하고，「회피＋1」		작아지기			－	－	1
잠꼬대	변화	노말			－	－	자신	±0	×	자신이 기억하고 있는 기술 중 하나를 무작위로 내보낸다．자신이 「잠듦」 상태가 아니면 실패한다．					－	－	1
재기환발	변화	노말			－	－	자신	±0	×	「전능력치＋1」					－	－	1
잼잼펀치	물리	노말			70	100	단일	±0	○	「펀치」 기술．「2할：혼란」	펀치				공격	방어	1
적당히손봐주기	물리	노말			40	100	단일	±0	○	상대가 공격을 남은 HP 「1」로 버틴다．					공격	방어	1
전광석화	물리	노말			40	100	단일	＋1	○	특수효과 없음．					공격	방어	1
정리정돈	변화	노말			－	－	필드	±0	×	전체 필드의 「대타출동」「설치물」 상태를 해제하고，자신의 「공격/속도＋1」		해제			－	－	1
정신차리기	물리	노말			60	100	단일	±0	○	상대의 「마비」 상태를 해제하고 위력이 강화（2배）된다．					공격	방어	1
제살깎기	변화	노말			－	－	자신	±0	×	HP를 1/2만큼 지불하고，자신의 「공격/특공/속도＋2」					－	－	1
조수	변화	노말			－	－	?	±0	×	아군 포켓몬이 기억하고 있는 기술 중 하나를 무작위로 내보낸다．					－	－	1
조이기	물리	노말			15	85	단일	±0	○	4～5T 동안 상대를 「조이기」 상태로 한다．		조이기			공격	방어	1
주술	변화	노말			－	－	자진	±0	×	5T 동안 자진을 「주술」 상태로 한다．	필드				－	－	1
죽기살기	물리	노말			－	100	단일	±0	○	상대의 HP가 자신의 HP와 같아지도록 대미지를 준다．					－	－	1
쥐어짜기（1P）	특수	노말			1	100	단일	±0	○	상대의 현재 HP가 많을수록 위력이 강화된다．상대의 「방어」 기술을 관통한다．		방어관통 체력비례			특공	특방	1
쥐어짜기（2P）	특수	노말			121	100	단일	±0	○	상대의 현재 HP가 많을수록 위력이 강화된다．상대의 「방어」 기술을 관통한다．		방어관통 체력비례			특공	특방	1
짓밟기	물리	노말			65	100	단일	±0	○	상대가 「작아지기」 상태일 때，위력이 강화（2배）되고 「필중」 효과가 부여된다．「3할：풀죽음」					공격	방어	1
째려보기	변화	노말			－	100	전체	±0	×	「방어－1」					－	－	1
찍찍베기	물리	노말			20	90	단일	±0	○	「칼/검」 기술．2～10회 「연속」 기술．	연속 칼/검				공격	방어	1
찝기	물리	노말			55	100	단일	±0	○	특수효과 없음．					공격	방어	1
참기	물리	노말			－	－	자신	＋1	○	2T 동안 상대로부터 받은 대미지의 2배만큼 고정 대미지를 준다．		고정피해			－	－	1
초음파	변화	노말			－	55	단일	±0	×	「소리」 기술．상대를 「혼란」 상태로 한다．	소리				－	－	1
축하	변화	노말			－	－	전체	±0	×	시스템창에 축하해! < 를 출력한다．					－	－	1
치료방울	변화	노말			－	－	아군	±0	×	「소리」 기술．아군 전원의 「상태이상」을 치유한다．	소리	치유			－	－	1
친해지기	변화	노말			－	－	단일	±0	×	「공격－1」					－	－	1
카구네로방어	변화	노말			－	－	자신	＋3	×	「방어」 기술．상대의 「공격」 기술을 「방어」한다．연속해서 내보내면 실패하기 쉽다．「접촉」 기술을 무효화했을 때，상대의 HP를 1/8만큼 드레인한다．	방어	드레인			－	－	1
카구네로베어가르기	물리	노말	고스트		130	85	단일	±0	○	「노말」「고스트」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			공격	방어	1
칼등치기	물리	노말			40	100	단일	±0	○	상대가 공격을 남은 HP 「1」로 버틴다．					공격	방어	1
칼바람	특수	노말			80	100	전체	±0	×	「모으기」 기술．급소에 맞기 쉽다（C＋1）．	모으기				특공	특방	1
칼춤	변화	노말			－	－	자신	±0	×	「춤」 기술．「공격＋2」	춤				－	－	1
코골기	특수	노말			50	100	단일	±0	×	「소리」 기술．자신이 「잠듦」 상태가 아니면 실패한다．「3할：풀죽음」	소리				특공	특방	1
코트체인지	변화	노말			－	100	필드	±0	×	자진/적진의 설치물 등을 전부 뒤바꾼다．					－	－	1
타이거클로	물리	노말	격투		130	85	단일	±0	○	「노말」「격투」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			공격	방어	1
탐내기	물리	노말			60	100	단일	±0	○	상대의 「소지품」을 약탈（파괴）한다．					공격	방어	1
테일크래시	물리	노말			130	70	단일	±0	○	「꼬리」 기술．「2할：풀죽음」	꼬리				공격	방어	1
텍스처	변화	노말			－	－	자신	±0	×	자신의 타입을 자신이 기억하고 있는 기술 중 하나와 같은 타입으로 변경한다．		타입변경			－	－	1
텍스처2	변화	노말			－	－	자신	±0	×	자신의 타입을 자신이 마지막으로 받은 기술에 저항할 수 있는 타입으로 변경한다．		타입변경			－	－	1
토해내기	특수	노말			0	100	단일	±0	×	자신의 비축하기 횟수만큼 위력이 강화（＋100，최대 300）된다．					특공	특방	1
튀어오르기	변화	노말			－	－	자신	±0	×	아무 일도 일어나지 않는다．					－	－	1
트라이어택	특수	노말			80	100	단일	±0	×	「2할：마비/화상/얼음」					특공	특방	1
트램펄린	변화	노말			－	－	적진	±0	×	「대지설치」 기술．적진에 「트램펄린」을 설치한다．	대지설치				－	－	1
파괴광선	특수	노말			150	90	단일	±0	×	명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．		행동불능			특공	특방	1
파괴의마포	특수	노말			250	90	전체	±0	×	명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．		행동불능		전용기술	특공	특방	1
파워시프트	변화	노말			－	－	자신	±0	×	자신의 「능력변화：공격」과 「능력변화：방어」를 뒤바꾼다．					－	－	1
페인트	물리	노말			70	100	단일	－3	○	상대의 「방어」 기술을 관통한다．		방어관통			공격	방어	1
폭음파	특수	노말			140	100	전체	±0	×	「소리」 기술．	소리				특공	특방	1
프레젠트	물리	노말			40	90	단일	±0	×	내보낼 때마다 위력이 랜덤하게 변화한다．상대의 HP를 1/4만큼 회복시켜 줄 때도 있다．					공격	방어	1
플래시	변화	노말			－	100	단일	±0	×	「명중－1」					－	－	1
필살앞니	물리	노말			80	90	단일	±0	○	「물기/엄니」 기술．「1할：풀죽음」	물기/엄니				공격	방어	1
하얀섬광	특수	노말			200	100	전체	＋2	×	상대의 〔방호 특성〕을 관통한다．연속해서 내보내면 실패하기 쉽다．（「방어」 기술과 별도 판정．）		특성관통		전용기술	특공	특방	1
하이퍼드릴	물리	노말			100	100	단일	±0	○	상대의 「방어」 기술을 관통한다．		방어관통			공격	방어	1
하이퍼보이스	특수	노말			90	100	단일	±0	×	「소리」 기술．	소리				특공	특방	1
하품	변화	노말			－	－	단일	±0	×	상대를 「하품」 상태로 한다．					－	－	1
할퀴기	물리	노말			40	100	단일	±0	○	특수효과 없음．					공격	방어	1
함정	변화	노말			－	－	적진	±0	×	「대지설치」 기술．적진에 「함정」을 설치한다．	대지설치				－	－	1
해피타임	변화	노말			－	－	필드	±0	×	배틀에서 승리했을 때 받는 돈이 증가한다．					－	－	1
헤롱헤롱	변화	노말			－	－	단일	±0	×	상대를 「헤롱헤롱」 상태로 한다．상대와 성별이 같으면 실패한다．					－	－	1
화풀이	물리	노말			－	100	단일	±0	○	친밀도가 낮을수록 위력이 강화된다．（최대 102）					공격	방어	1
회생의기도	변화	노말			－	－	자신	±0	×	「빈사」 상태인 아군을 HP 1/2로 「부활」시킨다．	부활				－	－	1
휘감기	물리	노말			10	100	단일	±0	○	「1할：속도－1」					공격	방어	1
휘둘러베기	물리	노말			100	100	단일	±0	○	「칼/검」 기술．	칼/검				공격	방어	1
흉내내기	변화	노말			－	－	단일	±0	×	상대의 기술을 모두 공개하고，그 중 1개를 선택해 「흉내내기」 대신 내보낼 수 있게 된다．					－	－	1
흉내쟁이	변화	노말			－	－	단일	±0	×	상대가 가장 마지막에 내보낸 기술을 내보낸다．					－	－	1
흔들흔들댄스	변화	노말			－	100	전체	±0	×	「춤」 기술．상대를 「혼란」 상태로 한다．	춤				－	－	1
희망사항	변화	노말			－	－	자진	±0	×	자진을 「희망사항」 상태로 한다．	필드				－	－	1
힘껏치기	물리	노말			80	75	단일	±0	○	특수효과 없음．					공격	방어	1
가열	변화	불꽃			－	－	자신	±0	×	자신을 「가열」 상태로 하고，「특방＋1」					－	－	2
검은불꽃	물리	불꽃			130	85	단일	±0	×	「2할：화상」					공격	방어	2
깜짝헤드	특수	불꽃			150	100	전체	±0	×	HP의 1/2만큼 반동 대미지를 받는다．		반동			특공	특방	2
